cargar,red,ambito,ya_en_directorio,nombre,estado,ciudad,correo,telefono,sitio_web,notas
"","FEDMA (Federación Mexicana de Alzheimer)","afecciones neurológicas (demencias)","no","Fundación Familiares de Alzheimer Aguascalientes, A.C.","Aguascalientes","Aguascalientes","fundacionalzheimer.ags@hotmail.com","(449) 970-5514","","grupo de apoyo a familiares"
"","FEDMA (Federación Mexicana de Alzheimer)","afecciones neurológicas (demencias)","no","Fundación Alzheimer Casa Belem","Baja California","Tijuana","","","","sin datos en el padrón"
"","FEDMA (Federación Mexicana de Alzheimer)","afecciones neurológicas (demencias)","no","Asociación Chiapaneca contra el Alzheimer","Chiapas","Tuxtla Gutiérrez","alzheimerchiapas@gmail.com","","","grupo de apoyo"
"","FEDMA (Federación Mexicana de Alzheimer)","afecciones neurológicas (demencias)","no","Centro de Alzheimer de la Laguna, A.C.","Coahuila","Torreón","centroalzheimerlaguna@hotmail.com","(871) 713-2718","","grupo de apoyo · su dominio ya no resuelve"
"","FEDMA (Federación Mexicana de Alzheimer)","afecciones neurológicas (demencias)","no","Asociación Mexicana de Alzheimer y Enfermedades Similares, A.C.","Ciudad de México","Ciudad de México","1988amaesdf@gmail.com","(55) 5523-1526","","sin datos en el padrón"
"","FEDMA (Federación Mexicana de Alzheimer)","afecciones neurológicas (demencias)","no","Alzheimer México I.A.P.","Ciudad de México","Ciudad de México","alzheimermexico@hotmail.com","(55) 5280-3349","alzheimermexico.org.mx","grupo de apoyo"
"","FEDMA (Federación Mexicana de Alzheimer)","afecciones neurológicas (demencias)","no","Centro Gerontológico Ryanmas, A.C.","Estado de México","Toluca","ryanmastoluca@gmail.com","(722) 213-9893","","grupo de apoyo"
"","FEDMA (Federación Mexicana de Alzheimer)","afecciones neurológicas (demencias)","no","Fundación Alzheimer León 'Alguien con quién contar', A.C.","Guanajuato","León","contacto@institutodelamemoria.org.mx","(477) 514-0999","institutodelamemoria.org.mx","valoración integral, terapia individual y acuática, capacitación a familias"
"","FEDMA (Federación Mexicana de Alzheimer)","afecciones neurológicas (demencias)","no","Plenitud y Demencias, A.C.","Jalisco","Guadalajara","plenitud_y_alzheimer@hotmail.es","333 197 1616","plenitudydemencias.org","cuidados integrales, formación de cuidadores"
"","FEDMA (Federación Mexicana de Alzheimer)","afecciones neurológicas (demencias)","no","Asociación Michoacana de Alzheimer y Similares, I.A.P.","Michoacán","Morelia","alzmichoacan@yahoo.com.mx","(443) 299-2178","","grupo de apoyo"
"","FEDMA (Federación Mexicana de Alzheimer)","afecciones neurológicas (demencias)","no","Asociación Morelense de Alzheimer, A.C.","Morelos","Cuernavaca","grupoapoyo.amoalz@gmail.com","(777) 336-0768","","grupo de apoyo · su dominio ya no resuelve"
"","FEDMA (Federación Mexicana de Alzheimer)","afecciones neurológicas (demencias)","no","Asociación Alzheimer de Monterrey, A.C.","Nuevo León","Monterrey","tere@alz.mx","(81) 8333-6713","alz.mx","11 grupos de apoyo, educación y sensibilización"
"","FEDMA (Federación Mexicana de Alzheimer)","afecciones neurológicas (demencias)","no","Asociación Poblana de Alzheimer y Enfermedades Similares, A.C.","Puebla","Puebla","juarezrugeriojosesergio@yahoo.com.mx","(222) 231-2074","","grupo de apoyo"
"","FEDMA (Federación Mexicana de Alzheimer)","afecciones neurológicas (demencias)","no","Asociación Potosina de Alzheimer y Enfermedades Similares, A.C.","San Luis Potosí","San Luis Potosí","apaes1@hotmail.com","(444) 815-3026","","grupos de apoyo · su sitio no carga"
"","FEDMA (Federación Mexicana de Alzheimer)","afecciones neurológicas (demencias)","no","Asociación Alzheimer Los Mochis, I.A.P.","Sinaloa","Los Mochis","alzmochis@hotmail.com","(668) 818-9396","","grupo de apoyo · su dominio ya no resuelve"
"","FEDMA (Federación Mexicana de Alzheimer)","afecciones neurológicas (demencias)","no","Estancia Dorita Ojeda, I.A.P.","Sonora","Ciudad Obregón","nojeda@alzobregon.org.mx","(644) 414-5715","","grupo de apoyo · OJO: su dominio lo tiene ahora un tercero"
"","FEDMA (Federación Mexicana de Alzheimer)","afecciones neurológicas (demencias)","no","Asociación Sonorense de Alzheimer y Enfermedades Similares, A.C.","Sonora","Hermosillo","alzheimersonora@hotmail.com","(662) 213-4563","","grupo de apoyo"
