sector,confianza,evidencia,nombre,provider_type,estado,ciudad,correo,sitio_web,ficha_id
"privado","alta","verificado en la web: Franquicia con canon y royalty sobre facturación (franquicias.andaconmigo.com)","Anda CONMiGO Mérida-Yucatán","clinic","Yucatán","Mérida","meridamexico@andaconmigo.com","https://andaconmigo.com/centros/anda-conmigo-merida-yucatan/","3ef0fd70-31f7-46d9-820a-02b2a655ab88"
"","duda","sin resolver: Sin figura jurídica en sitio, SAT, RFOSC ni directorios; el nombre sugiere asociación pero no hay prueba","Aprendde (Neuropsicología del Desarrollo)","school","Nuevo León","Monterrey","aprenddemx@gmail.com","https://www.aprendde.com.mx","31ecb085-fcf0-4fb9-b04f-14969081e640"
"privado","alta","verificado en la web: Tienda con carrito y cobro por Openpay; términos comerciales (aprendemonterrey.com.mx)","Aprende Monterrey (Instituto Aprende Monterrey)","school","Nuevo León","Guadalupe","aprendemonterrey@gmail.com","https://aprendemonterrey.com.mx","0dfad835-7bc3-46ed-8fa5-d14dc5aab110"
"privado","media","verificado en la web: Consultorio de persona física, aviso publicitario COFEPRIS (neuropsicologopuebla.com.mx)","Arnoldo Ríos Antonio — Centro de Neuropsicología Infantil","service_provider","Puebla","Puebla capital","magneticatranscraneale@gmail.com","https://neuropsicologopuebla.com.mx","fda141dc-effe-4de6-abb8-a7e6a0c249c1"
"social","alta","verificado en la web: Asociación de Integración y Rehabilitación de Autistas de Ensenada, A.C.","Autismo Ensenada (CAEPA)","clinic","Baja California","Ensenada","caepa@autismoensenada.com","https://autismoensenada.com/","7933eb5d-bfe1-4992-991e-20b993493399"
"social","media","verificado en la web: Directorio Autismo CDMX la describe como asociación civil; coincide correo y alcaldía","Capypee","clinic","Ciudad de México","Coyoacán","capyp@yahoo.com.mx","","d4ecc703-2f23-41d6-a87c-50425972c94f"
"","duda","sin resolver: Sin razón social, sin precios, sin A.C.; el homónimo de CDMX es otra entidad","CDTI — Centro de Diagnóstico y Terapia Integral","clinic","Puebla","Tehuacán","cdtith@gmail.com","https://www.cdti-tehuacan.com","0845fe2e-8143-49e3-80cb-2b07506dc3b3"
"privado","alta","verificado en la web: Clínica Hospital CEMAIN, S.A. de C.V., Tampico","CEMAIN — consultorio Dr. José Prudencio Carrera Sandoval","clinic","Tamaulipas","Tampico","neuroped.consulta@gmail.com","","005cc220-ee77-46cb-9b2c-bc9a917fdfe4"
"privado","media","verificado en la web: Práctica particular abierta por Pricila Vizcaíno (centerforbrain.com)","Center for Brain Monterrey","clinic","Nuevo León","San Pedro Garza García","pricila@centerforbrain.com","https://www.centerforbrainmty.com","6ed61ca9-f876-4b62-9ba2-65c1c45c9ae7"
"privado","media","verificado en la web: Consultorio unipersonal de Iliana Saavedra, con agenda de citas","Centro de Neurodesarrollo Infantil (Iliana Saavedra Tenorio)","clinic","Yucatán","Mérida","ilianast@yahoo.com.mx","https://centro-de-neurodesarrollo-infantil-merida.ueniweb.com/","b99029fe-0739-4d2e-ac12-6c28bdc3ae0b"
"privado","media","verificado en la web: Clínica con dirección propia; ojo: su dominio está secuestrado hoy","Centro de Psicología Infantil","clinic","Puebla","Puebla capital","info@centrodepsicologiainfantil.com.mx","https://www.centrodepsicologiainfantil.com.mx","c02c09b1-93c5-45bb-aa5f-a6dcd7f4f8a6"
"","duda","sin resolver: Sin figura jurídica en SAT, RFOSC, Facebook, Sección Amarilla ni veracruzinclusivo","Centro Mexicano para la Neurodiversidad y el Autismo INTEGRA","clinic","Veracruz","Xalapa","centrointegramex@gmail.com","","6810376d-4637-4840-8dcc-43b255ac01fc"
"","duda","sin resolver: Sin figura jurídica en SAT, RFOSC ni DENUE; IG y FB sin siglas, sin precios ni donativos","Centro Milak","clinic","Michoacán","Morelia","centromilak@gmail.com","https://www.centromilak.com/","a87749cd-549e-4037-b56a-a164dae498cb"
"privado","media","verificado en la web: Centro con agenda de citas y correo propio, sin A.C. ni donativos (centropiee.com)","Centro PIEE — Psicología Infantil y Educación Especial","clinic","Jalisco","Guadalajara","citas@centropiee.com","https://centropiee.com/","54eeda24-f4db-48c1-8c2e-e203eb82ae0c"
"privado","media","verificado en la web: Fundadora con dirección general y área de contabilidad propia (centrorio.com)","Centro Río","clinic","Tamaulipas","Heroica Matamoros","contacto@centrorio.com","https://centrorio.com/","5aa71339-8afc-41f1-9fb2-9f82c5c10e01"
"privado","media","verificado en la web: Cobra por servicio: tarifa y pago con tarjeta o efectivo","Centro Terapéutico Integral Crea Tu Mundo Autismo","clinic","Ciudad de México","Magdalena Contreras","contacto@creatumundo.com.mx","","22a1d020-83e9-464e-81fd-9946187c634b"
"privado","alta","verificado en la web: Franquicia: Centro de Entrenamiento Psicológico Infantil, S.C.","CEPI Reynosa — Centro de Atención Psicológica Infantil","clinic","Tamaulipas","Reynosa","contacto@cepireynosa.com","https://reynosa.centroscepi.com/","57318ba3-ac91-423c-a7dc-cc0cfd440a15"
"social","alta","verificado en la web: Centro de Integración Sensorial A.C. (cisacautismo.org)","CISAC — Centro Integral de Servicios de Apoyo para personas con autismo","school","Ciudad de México","","cisac.edu@gmail.com","https://www.cisacautismo.org/","0b18f504-7890-4561-98fa-9d947903c797"
"privado","alta","verificado en la web: Alta Tecnología en Salud Auditiva, S.A. de C.V. (aviso de privacidad)","Clínicas Audiológicas Oír Bien Veracruz","clinic","Veracruz","Boca del Río","terapia.veracruz@clinicasob.com","https://www.clinicasob.com","9a6c55de-794e-4540-b728-862aee871bff"
"social","media","verificado en la web: Aparece como CRECE: Autismo y Discapacidad Intelectual A.C.; FB Asociación Crece","CRECE: Autismo y Discapacidad Intelectual","clinic","Veracruz","Xalapa","crecexalapa@gmail.com","","d3e3399b-a02f-40d9-9119-580c3c901c45"
"privado","alta","persona física con título","Dr. Arturo Garza Peña","service_provider","Nuevo León","San Pedro Garza García","info@drarturogarza.com","https://drarturogarza.com","6e105942-f30e-44ca-bfad-45d2c4309559"
"privado","alta","persona física con título","Dr. Carlos Pimentel Negrón","service_provider","Michoacán","Morelia","carlosrpn1@gmail.com","https://carlosrpn1.wixsite.com/neurologopediatra","4fe0f156-735d-498a-86b7-4bec788dca79"
"privado","alta","persona física con título","Dr. Enrique Camarena Robles — Psiquiatría Infantil","service_provider","Ciudad de México","Benito Juárez","consultas@doctorcamarena.mx","https://www.doctorcamarena.mx/","be8b9fb7-698a-4a8d-9ba5-b76650ac0ddf"
"privado","alta","persona física con título","Dr. Gustavo Hernández Martínez — Centro Neurológico Infantil (CENISAT)","service_provider","Veracruz","Xalapa","cenisat@gmail.com","","4cdb0854-2c4b-4067-a52b-f7daaaeb59cc"
"privado","alta","persona física con título","Dr. Isrrael Salazar Alpuche — Neurofisiología Clínica","service_provider","Ciudad de México","Tlalpan","israelticul@hotmail.com","https://www.neurofisiologiacdmx.com/index.html","3bbf780e-1e20-4dba-80c8-dee2ac11aa6a"
"privado","alta","persona física con título","Dr. Jesús Gómez Plascencia y Castillo","service_provider","Jalisco","Guadalajara","gomezpyc@gmail.com","https://drjesusgomez.wixsite.com/neurologiapediatrica","773616cb-5d2f-4b8f-a421-08c86f3dba46"
"privado","alta","persona física con título","Dr. Luis Freyre Cáceres — Centro Psicológico DIME","service_provider","Veracruz","Veracruz","contacto@centrodime.mx","https://centrodime.mx/","19ad8ec4-317b-4c98-97e3-bd5359d1e658"
"privado","alta","persona física con título","Dra. Iris Magaly Gallardo Vázquez","service_provider","Baja California","Mexicali","terafi.mxl@gmail.com","https://www.rehabilitaciondrairis.com.mx/","10ed1c68-6c98-417c-9063-2c7c3110e164"
"","duda","sin resolver: Solo ficha de directorio con rango de precios; sin figura jurídica en SAT ni RFOSC","ECO Atención a la Neurodiversidad","clinic","Querétaro","Santiago de Querétaro","eco.neurodiversidad@gmail.com","","4b27af90-f139-42b4-8569-5573186849f1"
