"clase","nombre_clase","estado_clave","estado","total"
"621113","Consultorios de medicina especializada del sector privado","10","Durango","412"
"621113","Consultorios de medicina especializada del sector privado","11","Guanajuato","2481"
"621113","Consultorios de medicina especializada del sector privado","12","Guerrero","464"
"621113","Consultorios de medicina especializada del sector privado","13","Hidalgo","571"
"621113","Consultorios de medicina especializada del sector privado","14","Jalisco","2578"
"621113","Consultorios de medicina especializada del sector privado","15","México","2119"
"621113","Consultorios de medicina especializada del sector privado","16","Michoacán","1717"
"621113","Consultorios de medicina especializada del sector privado","17","Morelos","522"
"621113","Consultorios de medicina especializada del sector privado","18","Nayarit","381"
"621113","Consultorios de medicina especializada del sector privado","19","Nuevo León","2477"
"621113","Consultorios de medicina especializada del sector privado","20","Oaxaca","733"
"621113","Consultorios de medicina especializada del sector privado","21","Puebla","1606"
"621113","Consultorios de medicina especializada del sector privado","22","Querétaro","1171"
"621113","Consultorios de medicina especializada del sector privado","23","Quintana Roo","288"
"621113","Consultorios de medicina especializada del sector privado","24","San Luis Potosí","979"
"621113","Consultorios de medicina especializada del sector privado","25","Sinaloa","1351"
"621113","Consultorios de medicina especializada del sector privado","26","Sonora","1283"
"621113","Consultorios de medicina especializada del sector privado","27","Tabasco","571"
"621113","Consultorios de medicina especializada del sector privado","28","Tamaulipas","1312"
"621113","Consultorios de medicina especializada del sector privado","29","Tlaxcala","169"
"621113","Consultorios de medicina especializada del sector privado","30","Veracruz","1557"
"621113","Consultorios de medicina especializada del sector privado","31","Yucatán","1277"
"621113","Consultorios de medicina especializada del sector privado","32","Zacatecas","474"
"621113","Consultorios de medicina especializada del sector privado","01","Aguascalientes","679"
"621113","Consultorios de medicina especializada del sector privado","02","Baja California","1359"
"621113","Consultorios de medicina especializada del sector privado","03","Baja California Sur","285"
"621113","Consultorios de medicina especializada del sector privado","04","Campeche","332"
"621113","Consultorios de medicina especializada del sector privado","05","Coahuila","1179"
"621113","Consultorios de medicina especializada del sector privado","06","Colima","447"
"621113","Consultorios de medicina especializada del sector privado","07","Chiapas","870"
